Luke source,flag,fielding.start,fielding.end,pollster,source,interview.mode,publisher,publication.date,sample,DKrefused.reported,DKrefused.combined,DK.reported,DK,refused.reported,refused,Coalition.TPP.reported,Labor.TPP.reported,Coalition.TPP.previouselectionallocation,Labor.TPP.previouselectionallocation,Coalition.TPP.voterallocation,Labor.TPP.voterallocation,Coalition.total.primary,Liberal.primary,National.primary,Labor.primary,Green.primary,FamilyFirst.primary,Democrats.primary,OneNation.primary,XenophonCentreAlliance.primary,UAP.PUP.primary,KattersAustraliaParty.primary,Independent.primary,Other.primary,undecided.primary,sampleSize.published
,FALSE,1/7/08,6/7/08,Essential,Kath Murphy's partner's spreadsheet,online,,,875.5,,,,,,,38,62,,,,,31,29,2,51,8,3,1,1,,,,,5,,1751
,FALSE,8/7/08,13/7/08,Essential,http://blogs.crikey.com.au/pollbludger/files/old/EssentialReport_140708.pdf,online,,,850,,,,,,,41,59,,,,,34,32,3,44,9,3,2,1,,,,,5,,1700
,FALSE,15/7/08,19/7/08,Essential,Kath Murphy's partner's spreadsheet,online,,,858,,,,,,,43,57,,,,,35,32,3,46,9,3,1,1,,,,,5,,1716
,FALSE,22/7/08,26/7/08,Essential,Kath Murphy's partner's spreadsheet,online,,,851.5,,,,,,,42,58,,,,,35,33,2,47,9,3,1,1,,,,,4,,1703
,FALSE,29/7/08,3/8/08,Essential,http://blogs.crikey.com.au/pollbludger/files/old/EssentialReport_040808.pdf,online,,,710,,,,,,,42,58,,,,,36,32,3,46,9,3,0,2,,,,,6,,1420
,FALSE,5/8/08,10/8/08,Essential,http://blogs.crikey.com.au/pollbludger/files/old/EssentialReport_110808.pdf,online,,,858.5,,,,,,,42,58,,,,,36,33,2,45,11,4,1,1,,,,,5,,1717
,FALSE,14/8/08,18/8/08,Essential,http://blogs.crikey.com.au/pollbludger/files/old/EssentialReport_180808.pdf,online,,,851,,,,,,,42,58,,,,,35,33,2,45,10,4,2,0,,,,,4,,1702
,FALSE,19/8/08,24/8/08,Essential,http://blogs.crikey.com.au/pollbludger/files/old/EssentialReport_250808.pdf,online,,,852,,,,,,,42,58,,,,,35,32,3,49,6,3,1,0,,,,,5,,1704
,FALSE,25/8/08,31/8/08,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_010908.pdf,online,,,864.5,,,,,,,41,59,,,,,34,30,2,48,8,5,2,0,,,,,4,,1729
,FALSE,2/9/08,7/9/08,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_080908.pdf,online,,,892.5,,,,,,,41,59,,,,,33,30,3,46,10,4,2,0,,,,,5,,1785
,FALSE,8/9/08,14/9/08,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_150908.pdf,online,,,915.5,,,,,,,42,58,,,,,33,31,3,44,11,4,1,0,,,,,4,,1831
,FALSE,16/9/08,21/9/08,Essential,http://blogs.crikey.com.au/pollbludger/files/2008/09/essentialreport_220908.pdf,online,,,906,,,,,,,43,57,,,,,35,34,2,44,10,4,2,0,,,,,3,,1812
,FALSE,23/9/08,28/9/08,Essential,http://www.essentialmedia.com.au/Media/EssentialReport_290908.pdf,online,,,915,,,,,,,42,58,,,,,35,31,4,50,8,2,1,0,,,,,4,,1830
,FALSE,30/9/08,5/10/08,Essential,http://www.essentialmedia.com.au/Media/EssentialReport_071008.pdf,online,,,930.5,,,,,,,42,58,,,,,36,34,2,43,11,3,1,0,,,,,5,,1861
,FALSE,7/10/08,12/10/08,Essential,http://www.essentialmedia.com.au/wp-content/themes/rockwell/documents/essential_report_131008.pdf,online,,,921.5,,,,,,,43,57,,,,,37,33,3,45,11,2,1,0,,,,,4,,1843
