Start Date,End Date,Pollster,Scope,Sample,L-NP,ALP,GRN,PHON,NXT,OTH,L-NP 2pp,ALP 2pp,L-NP_respondent_allocate_preferences,ALP_allocate_preferences,uncommitted,source
16/6/17,26/6/17,Essential Research (two-week),NAT,2000,39,36,10,7,3,,48,52,,,,
29/6/17,29/6/17,ReachTEL,NAT,2389,36.4,35.4,10.2,9.6,,,,,48,52,,
23/6/17,3/7/17,Essential Research (two-week),NAT,2000,38,36,11,7,3,,47,53,,,,
6/7/17,9/7/17,Newspoll,NAT,1597,35,36,10,11,,,47,53,,,,
6/7/17,9/7/17,YouGov/Fifty Acres,NAT,1000,36,33,12,7,,,,,52,48,,
30/6/17,10/7/17,Essential Research (two-week),NAT,2000,36,36,11,7,3,,46,54,,,,
7/7/17,17/7/17,Essential Research (two-week),NAT,2000,36,38,10,7,3,,46,54,,,,
19/7/17,19/7/17,ReachTEL,NAT,2300,37.2,35.1,8.8,11.7,,,,,49,51,,
20/7/17,23/7/17,Newspoll,NAT,1677,36,37,9,9,,,47,53,,,,
20/7/17,23/7/17,YouGov/Fifty Acres,NAT,1005,36,33,10,8,,,,,50,50,,
14/7/17,24/7/17,Essential Research (two-week),NAT,2000,38,37,10,7,4,,47,53,,,,
21/7/17,31/7/17,Essential Research (two-week),NAT,2000,38,36,10,8,4,,48,52,,,,
3/8/17,6/8/17,Newspoll,NAT,1639,36,36,11,8,,,47,53,,,,
3/8/17,6/8/17,YouGov/Fifty Acres,NAT,1076,34,32,11,9,4,,,,50,50,,
28/7/17,7/8/17,Essential Research (two-week),NAT,2000,37,39,9,8,3,,46,54,,,,
4/8/17,14/8/17,Essential Research (two-week),NAT,2000,37,39,9,8,2,,46,54,,,,
17/8/17,20/8/17,Newspoll,NAT,1675,35,38,9,9,,,46,54,,,,
17/8/17,20/8/17,YouGov/Fifty Acres,NAT,1012,34,33,10,10,5,,,,51,49,,
11/8/17,21/8/17,Essential Research (two-week),NAT,2000,37,37,9,8,3,,47,53,,,,
23/8/17,23/8/17,ReachTEL,NAT,2832,34.5,36.7,10.3,10.4,,,,,48,52,,
18/8/17,28/8/17,Essential Research (two-week),NAT,2000,37,36,10,8,3,,47,53,,,,
31/8/17,3/9/17,Newspoll,NAT,1606,37,38,9,8,,,47,53,,,,
31/8/17,3/9/17,YouGov/Fifty Acres,NAT,1032,34,32,12,9,,,,,50,50,,
25/8/17,4/9/17,Essential Research (two-week),NAT,2000,36,37,10,8,2,,47,53,,,,
6/9/17,9/9/17,Ipsos,NAT,1400,35,34,14,,,,47,53,48,52,,
1/9/17,10/9/17,Essential Research (two-week),NAT,2000,36,37,10,9,2,,46,54,,,,
7/9/17,17/9/17,Essential Research (two-week),NAT,2000,38,36,10,8,3,,48,52,,,,
14/9/17,17/9/17,YouGov/Fifty Acres,NAT,1056,34,35,11,9,3,,,,50,50,,
14/9/17,24/9/17,Essential Research (two-week),NAT,2000,37,37,10,7,3,,47,53,,,,
21/9/17,24/9/17,Newspoll,NAT,1695,36,38,9,8,,,46,54,,,,
28/9/17,28/9/17,ReachTEL,NAT,4888,34.5,36.4,10.2,11,,,,,47,53,,
21/9/17,1/10/17,Essential Research (two-week),NAT,2000,36,38,10,7,3,,46,54,,,,
28/9/17,1/10/17,YouGov/Fifty Acres,NAT,954,34,33,11,9,4,,,,51,49,,
28/9/17,8/10/17,Essential Research (two-week),NAT,2000,36,38,10,7,2,,46,54,,,,
5/10/17,15/10/17,Essential Research (two-week),NAT,2000,37,36,9,8,3,,48,52,,,,
12/10/17,15/10/17,Newspoll,NAT,1583,36,37,10,9,,,46,54,,,,
12/10/17,15/10/17,YouGov/Fifty Acres,NAT,1067,34,32,11,11,3,,,,51,49,,
13/10/17,23/10/17,Essential Research (two-week),NAT,2000,37,36,9,8,3,,48,52,,,,
25/10/17,25/10/17,ReachTEL,NAT,2399,37.1,37.8,9.5,9.3,,,,,47,53,,
26/10/17,29/10/17,Newspoll,NAT,1623,35,37,10,9,,,46,54,,,6,Factiva
26/10/17,29/10/17,YouGov/Fifty Acres,NAT,1009,36,33,10,9,4,,,,51,49,,
20/10/17,30/10/17,Essential Research (two-week),NAT,2000,36,37,10,7,3,,46,54,,,,
27/10/17,6/11/17,Essential Research (two-week),NAT,2000,37,37,10,8,2,,47,53,,,,
9/11/17,12/11/17,Newspoll,NAT,1624,34,38,9,10,,,45,55,,,,
9/11/17,12/11/17,YouGov/Fifty Acres,NAT,1034,34,31,11,11,4,,,,48,52,,
3/11/17,13/11/17,Essential Research (two-week),NAT,2000,36,38,9,8,3,,46,54,,,,
10/11/17,20/11/17,Essential Research (two-week),NAT,2000,35,38,9,8,3,,46,54,,,,
23/11/17,26/11/17,YouGov/Fifty Acres,NAT,1034,32,32,10,11,,,,,47,53,,
17/11/17,27/11/17,Essential Research (two-week),NAT,2000,36,38,9,8,2,,46,54,,,,
28/11/17,28/11/17,ReachTEL,NAT,4571,35.4,38.4,10.4,8.9,,,,,47,53,,
30/11/17,2/12/17,Ipsos,NAT,1401,34,33,13,,,,47,53,48,52,,
30/11/17,3/12/17,Newspoll,NAT,1560,36,37,10,8,,,47,53,,,,
24/11/17,4/12/17,Essential Research (two-week),NAT,2000,35,38,9,8,2,,45,55,,,,
1/12/17,11/12/17,Essential Research (two-week),NAT,2000,35,38,10,7,2,,46,54,,,,
14/12/17,17/12/17,Newspoll,NAT,1669,36,37,10,7,,,47,53,,,5,Factiva 
8/12/17,18/12/17,Essential Research (two-week),NAT,2000,37,38,9,7,2,,47,53,,,,
11/1/18,15/1/18,Essential Research,NAT,1038,38,37,9,6,3,,47,53,,,,
25/1/18,25/1/18,ReachTEL,NAT,2400,36.6,38.7,10.8,8.6,,,,,48,52,,
26/1/18,28/1/18,Essential Research,NAT,1028,36,35,10,8,3,,46,54,,,,
1/2/18,4/2/18,Newspoll,NAT,1616,38,37,10,5,,,48,52,,,,
8/2/18,11/2/18,Essential Research,NAT,1026,37,36,10,6,4,,46,54,,,,
15/2/18,18/2/18,Newspoll,NAT,1632,36,37,10,8,,,47,53,,,,
22/2/18,22/2/18,ReachTEL,NAT,2400,33,37,11,7,,,,,46,54,,
22/2/18,25/2/18,Essential Research,NAT,1028,35,35,10,8,2,,47,53,,,,
1/3/18,4/3/18,Newspoll,NAT,1657,37,38,9,7,,,47,53,,,,
8/3/18,11/3/18,Essential Research,NAT,1025,36,38,9,8,3,,46,54,,,,
22/3/18,25/3/18,Newspoll,NAT,1597,37,39,9,7,,,47,53,,,,
22/3/18,25/3/18,Essential Research,NAT,1027,38,36,9,8,2,,48,52,,,,
28/3/18,28/3/18,ReachTEL,NAT,2400,34,36,10,7,,,,,46,54,,
3/4/18,5/4/18,Ipsos,NAT,1166,36,34,12,8,,,48,52,50,50,,
5/4/18,8/4/18,Newspoll,NAT,1597,38,37,10,7,,,48,52,,,,
5/4/18,8/4/18,Essential Research,NAT,1033,38,37,10,7,2,,47,53,,,,
19/4/18,22/4/18,Newspoll,NAT,2068,38,37,9,7,,,49,51,,,,
19/4/18,22/4/18,Essential Research,NAT,1026,37,36,11,8,2,,47,53,,,,
1/5/18,1/5/18,ReachTEL,NAT,2400,36,35,10,6,,,48,52,48,52,,
3/5/18,6/5/18,Essential Research,NAT,1033,38,37,10,6,2,,47,53,,,,
10/5/18,13/5/18,Newspoll,NAT,1728,39,38,9,6,,,49,51,,,,
10/5/18,13/5/18,Ipsos,NAT,1200,36,37,11,5,,,46,54,47,53,,
10/5/18,13/5/18,Essential Research,NAT,1027,38,36,10,7,2,,48,52,,,,
17/5/18,20/5/18,Essential Research,NAT,1025,40,36,10,8,1,,49,51,,,,
24/5/18,27/5/18,Newspoll,NAT,1591,38,38,9,8,,,48,52,,,,
31/5/18,31/5/18,ReachTEL,NAT,2400,35,34,11,9,,,48,52,48,52,,
31/5/18,3/6/18,Essential Research,NAT,1025,36,37,10,8,2,,46,54,,,,
2/6/18,2/6/18,ReachTEL,NAT,2000,35,34,11,9,,,48,52,,,,
14/6/18,17/6/18,Essential Research,NAT,1027,38,35,11,7,2,,48,52,,,,
14/6/18,17/6/18,Newspoll,NAT,1660,38,38,10,6,,,48,52,,,5,Factiva
21/6/18,24/6/18,Ipsos,NAT,1200,35,35,12,6,,,47,53,46,54,,
28/6/18,1/7/18,Essential Research,NAT,1030,40,37,11,6,1,,48,52,,,,
28/6/18,1/7/18,Newspoll,NAT,1609,39,37,9,6,,,49,51,,,,
12/7/18,15/7/18,Essential Research,NAT,1014,40,36,10,6,1,,49,51,,,,
12/7/18,15/7/18,Newspoll,NAT,1644,38,36,10,7,,,49,51,,,5,Factiva 
18/7/18,21/7/18,Ipsos,NAT,1200,39,34,12,6,,,49,51,50,50,,
26/7/18,29/7/18,Essential Research,NAT,1022,41,36,10,6,1,,49,51,,,,
26/7/18,29/7/18,Newspoll,NAT,1704,39,36,10,7,,,49,51,,,4,Factiva
2/8/18,2/8/18,ReachTEL,NAT,2453,35,34.4,12.1,7.9,,,49,51,,,,
9/8/18,12/8/18,Essential Research,NAT,1032,39,37,10,6,1,,48,52,,,,
9/8/18,12/8/18,Newspoll,NAT,1607,37,35,10,9,,,49,51,,,,
15/8/18,18/8/18,Ipsos,NAT,1200,33,35,13,8,,,45,55,45,55,,
18/8/18,19/8/18,Roy Morgan,NAT,886,39,34.5,12,2,1,11.5,49.5,50.5,49.5,50.5,5,https://www.roymorgan.com/findings/7716-federal-voting-intention-august-28-2018-201808272259
24/8/18,26/8/18,Essential Research,NAT,1035,35,39,10,7,2,,45,55,46,54,,
24/8/18,25/8/18,Newspoll,NAT,1783,33,41,10,7,,,44,56,,,,
25/8/18,26/8/18,Roy Morgan,NAT,821,36.5,36,13,2.5,0.5,11.5,46,54,46,54,6,https://www.roymorgan.com/findings/7716-federal-voting-intention-august-28-2018-201808272259
6/9/18,9/9/18,Essential Research,NAT,1050,36,37,10,8,2,,46,54,46,54,,
6/9/18,9/9/18,Newspoll,NAT,1653,34,42,10,6,,,44,56,,,,
12/9/18,15/9/18,Ipsos,NAT,1200,34,31,15,7,,,47,53,47,53,,
20/9/18,23/9/18,Essential Research,NAT,1030,37,36,12,5,1,,47,53,,,,
20/9/18,23/9/18,Newspoll,NAT,1675,36,39,10,6,,,46,54,,,,
4/10/18,7/10/18,Essential Research,NAT,1025,38,37,10,7,1,,47,53,,,,
10/10/18,13/10/18,Ipsos,NAT,1200,35,35,15,5,,,45,55,45,55,,
11/10/18,13/10/18,Newspoll,NAT,1707,37,38,11,6,,,47,53,,,,
18/10/18,21/10/18,Essential Research,NAT,1027,38,37,10,7,,,47,53,,,,
25/10/18,28/10/18,Newspoll,NAT,1646,36,39,9,6,,,46,54,,,,
1/11/18,4/11/18,Essential Research,NAT,1028,36,39,10,6,,,46,54,,,,
8/11/18,11/11/18,Newspoll,NAT,1802,35,40,9,6,,,45,55,,,,
15/11/18,17/11/18,Ipsos,NAT,1200,37,34,13,5,,,48,52,47,53,,
15/11/18,18/11/18,Essential Research,NAT,1027,37,35,11,7,,,48,52,,,,
22/11/18,25/11/18,Newspoll,NAT,1717,34,40,9,8,,,45,55,,,6,Factiva
29/11/18,2/12/18,Essential Research,NAT,1032,38,39,10,6,,,46,54,,,,
6/12/18,9/12/18,Newspoll,NAT,1731,35,41,9,7,,,45,55,,,,
12/12/18,15/12/18,Ipsos,NAT,1200,36,37,13,6,,,46,54,46,54,,
13/12/18,16/12/18,Essential Research,NAT,1026,37,36,11,7,,,47,53,,,,
9/1/19,13/1/19,Essential Research,NAT,1089,38,38,10,7,,,47,53,,,,
24/1/19,27/1/19,Newspoll,NAT,1634,37,38,9,6,,,47,53,,,,
23/1/19,31/1/19,Essential Research,NAT,1652,38,36,10,7,,,48,52,,,,
7/2/19,10/2/19,Newspoll,NAT,1567,37,39,9,5,,,47,53,,,,
6/2/19,11/2/19,Essential Research,NAT,1067,34,38,10,7,,,45,55,,,,
12/2/19,15/2/19,Ipsos,NAT,1200,38,33,13,5,,,49,51,49,51,,
21/2/19,24/2/19,Newspoll,NAT,1582,37,39,9,5,,,47,53,,,,
10/2/19,25/2/19,Essential Research,NAT,1085,38,37,9,6,,,48,52,,,,
20/2/19,25/2/19,Essential Research,NAT,1085,38,37,9,6,,,48,52,,,,
7/3/19,10/3/19,Newspoll,NAT,1610,36,39,9,7,,,46,54,,,,
6/3/19,11/3/19,Essential Research,NAT,1089,37,38,8,6,,,47,53,,,,
20/3/19,25/3/19,Essential Research,NAT,1085,39,36,10,7,,,48,52,,,,
