date,estimate,lo,up
2019-05-18,0.5146999999999999,0.5146999999999999,0.5146999999999999
2019-05-19,0.514703661878425,0.5118964394819225,0.5174328621843144
2019-05-20,0.5146962261477791,0.5107251961682779,0.5185995745185717
2019-05-21,0.5146931427227598,0.5098062407948686,0.5196079341117029
2019-05-22,0.5146703520525308,0.5092016598105312,0.520175217324578
2019-05-23,0.514674920436422,0.5087237983971634,0.5207580226413441
2019-05-24,0.5146636412322257,0.507758515855668,0.5212545761953256
2019-05-25,0.5146622718808944,0.5074422873300185,0.5219155172442758
2019-05-26,0.514659024364488,0.5068655763673969,0.5223927007595172
2019-05-27,0.5146462997306951,0.5066376225860412,0.5227220216429167
2019-05-28,0.5146783074517176,0.5062504558839039,0.5231030840654007
2019-05-29,0.5146818494791415,0.5060016444442159,0.5234103413578498
2019-05-30,0.514654523042463,0.5055976024134742,0.5237895071622795
2019-05-31,0.5146763418925757,0.5051743339117368,0.5241009726975058
2019-06-01,0.5146857497566778,0.5045739791431442,0.5244435652911793
2019-06-02,0.5147266514598395,0.5045795504341724,0.5248314383915038
2019-06-03,0.5147065851406606,0.5042387138448098,0.5247839038925551
2019-06-04,0.5147619272797902,0.5041019040170783,0.5252618605862492
2019-06-05,0.5147323089786001,0.5038196332789416,0.5253588631225697
2019-06-06,0.5147434733056786,0.5038287035415049,0.5256666006365937
2019-06-07,0.5147387722535917,0.503663435677791,0.5260478757309062
2019-06-08,0.5147364292794999,0.5033866731731056,0.5262593917762768
2019-06-09,0.5147627295254739,0.5027903833052804,0.526409998000636
2019-06-10,0.5147578877323973,0.5027719850457246,0.5267592785689734
2019-06-11,0.5147681283492337,0.5027618037879539,0.5269526930889529
2019-06-12,0.514761615260288,0.5027416633796286,0.5272274245410347
2019-06-13,0.5147177602214256,0.5025207967263664,0.5273951520321846
2019-06-14,0.5146943384092519,0.50240285009864,0.5273791230334984
2019-06-15,0.5147013626017727,0.5020581524842447,0.5274019537323417
2019-06-16,0.5147230024594287,0.5021923834234618,0.527580968495484
2019-06-17,0.5146550347419867,0.5020025466711234,0.5276362646069819
2019-06-18,0.5146292627158987,0.5020055780243489,0.5277499646280779
2019-06-19,0.5146021095402454,0.5016837831040009,0.5277391131869213
2019-06-20,0.5146038034142476,0.501739795439938,0.52801743381783
2019-06-21,0.5146575865316245,0.5013305291281045,0.5284874940294741
2019-06-22,0.5146696191771933,0.501167849742207,0.528408488084459
2019-06-23,0.5146395778234136,0.5011013229787044,0.5287855337023037
2019-06-24,0.5146403094680302,0.5009794504582897,0.5289716877514287
2019-06-25,0.5146103694321085,0.5008758745165479,0.5286482894662701
2019-06-26,0.5146126588559903,0.5010281708011467,0.5287561541454999
2019-06-27,0.514618736074555,0.501168848808956,0.5292065756108523
2019-06-28,0.5146155856158369,0.5009108824248304,0.5291097693685237
2019-06-29,0.5146022369691349,0.5007459323102262,0.529233642699491
2019-06-30,0.5146036938913495,0.5005467833152508,0.5289967877341043
2019-07-01,0.514614766135641,0.500860360489146,0.5287759215636663
2019-07-02,0.5146131774911529,0.5008946179575939,0.5290618685465475
2019-07-03,0.5146031324405935,0.5008920280209689,0.5289059045657976
2019-07-04,0.5145996008171042,0.5008251723869068,0.5291577037518338
2019-07-05,0.5145834129047978,0.5008122991122608,0.5290185725435806
2019-07-06,0.5145654395842411,0.500592829051849,0.5285093508939047
2019-07-07,0.5145642572873471,0.5009117023960423,0.5287717840685269
2019-07-08,0.5145470426144503,0.5006601755542396,0.5289107380610394
2019-07-09,0.5145447268251285,0.5004501516556261,0.5286844278362604
2019-07-10,0.5145277116699575,0.5004576850152826,0.5289996364458408
2019-07-11,0.5145273839576546,0.5003291922589322,0.5290913900827865
2019-07-12,0.5145279451813768,0.5003602473260553,0.5291459871782173
2019-07-13,0.5145012908141997,0.5003324204695363,0.5291349598633415
2019-07-14,0.5144927180762915,0.5003427472295607,0.5285598660000479
2019-07-15,0.5144567081523552,0.5008783803816768,0.5284094085380369
2019-07-16,0.5144809886750106,0.5006876065315843,0.528588523030738
2019-07-17,0.5145109378775617,0.5007971116925446,0.5283785621154602
2019-07-18,0.514529065493333,0.5008908204114942,0.5289338158936574
2019-07-19,0.5145183354151003,0.501009242884304,0.5285111361155806
2019-07-20,0.514546604251826,0.501271529894227,0.5284791089269627
2019-07-21,0.5145142528482654,0.5010826723513605,0.5284555485355836
2019-07-22,0.5145023614223754,0.5011760150913294,0.528691497189942
2019-07-23,0.5145031981829014,0.5011557154656766,0.5284410049668452
2019-07-24,0.5144843186125361,0.5015191878807549,0.5284678187149671
2019-07-25,0.514485013445742,0.5016027038005711,0.5285928696156448
2019-07-26,0.5144607522461504,0.5017990592912143,0.5285652517558153
2019-07-27,0.5143036111210134,0.501618773312618,0.5282469350048935
2019-07-28,0.5141321520803432,0.5015037140198735,0.5281247312310526
2019-07-29,0.5140036079177084,0.5010617051785466,0.5281372895257689
2019-07-30,0.5138736700796445,0.5006504892998446,0.5275738596913023
2019-07-31,0.5137215231292708,0.5002056744343983,0.5275691881824852
2019-08-01,0.5136013490540126,0.5001888375081939,0.527580172061995
2019-08-02,0.5134285576914032,0.499732130945444,0.5275604365011053
2019-08-03,0.5132940514513376,0.4996796775577277,0.5277001485705276
2019-08-04,0.5131562924158515,0.4995610452032244,0.5274256791781902
2019-08-05,0.513004096073557,0.49948104220491363,0.5273268852442726
2019-08-06,0.5128516069859176,0.49930939493611265,0.5268215348986331
2019-08-07,0.5126888055206951,0.4991223787829465,0.5270627672199772
