date,estimate,lo,up
2019-05-18,0.10400000000000001,0.10400000000000001,0.10400000000000001
2019-05-19,0.10410967383391861,0.10256124758872602,0.10564015069410376
2019-05-20,0.10424735769220778,0.10204846995342252,0.10642732453910957
2019-05-21,0.10437499371735806,0.10163833321702456,0.10696016274883723
2019-05-22,0.10451237087100378,0.10144668212751085,0.10753922057313256
2019-05-23,0.10463759322007717,0.10125117243721024,0.10792964103390654
2019-05-24,0.10476946607882459,0.10098406286143671,0.10849899974669992
2019-05-25,0.10490152375804591,0.10068153290058898,0.10889282892596108
2019-05-26,0.10504684937067332,0.10060260809296756,0.10932463445437565
2019-05-27,0.1051657392380421,0.10063438819598916,0.1097523125798918
2019-05-28,0.10529733821859275,0.1005839328632148,0.1102128778670401
2019-05-29,0.10543738411422583,0.10054159644132614,0.11064362258937158
2019-05-30,0.10558890020680636,0.10043579336931063,0.11088307687444475
2019-05-31,0.10572592947517712,0.10036024775415123,0.11120146854252075
2019-06-01,0.10584428339761826,0.10036585595141387,0.11146078041544605
2019-06-02,0.1059836692680124,0.10031076082635279,0.11178182736809306
2019-06-03,0.10610855747687191,0.10022531145863377,0.11204971078520753
2019-06-04,0.10622377391812958,0.10025631900919424,0.11229600091789937
2019-06-05,0.10634081676248756,0.10010192246683203,0.11260094953449545
2019-06-06,0.10647357994706587,0.1001307322046578,0.11274136999271218
2019-06-07,0.10661668213406485,0.10033661930922548,0.11308761511072377
2019-06-08,0.10673748038388284,0.10032610237828758,0.11334673186067999
2019-06-09,0.10686922116940482,0.10039710867279045,0.11353132589112712
2019-06-10,0.10698273400085291,0.10022360130712896,0.11367066277805522
2019-06-11,0.10711225678664603,0.10023108812495629,0.11401843295567571
2019-06-12,0.10722909299915866,0.10032365640892443,0.11434125493533595
2019-06-13,0.10736886787471868,0.10035632161411603,0.11449051210351624
2019-06-14,0.1075207971644447,0.10044241821946703,0.11472979566649413
2019-06-15,0.10765911250663393,0.10048619113502633,0.11495826559565853
2019-06-16,0.1077921594089981,0.10050911853543985,0.11522231966428696
2019-06-17,0.10793657900430961,0.10066573468730701,0.11540648507455108
2019-06-18,0.10807032639181527,0.1006405921862046,0.1155594830308795
2019-06-19,0.10821885777724578,0.10076416540339243,0.11603288120262918
2019-06-20,0.10834041636299746,0.10075400161254466,0.11615475702319518
2019-06-21,0.10847169542880962,0.10090999976497736,0.1164053768060098
2019-06-22,0.10857000197476914,0.10082577686880972,0.11652609981101242
2019-06-23,0.10869136097076534,0.10089778996345156,0.1165454621407505
2019-06-24,0.1088257106033187,0.10083201306493443,0.11673458052192831
2019-06-25,0.1089511127536588,0.10084987436500595,0.11689556082652436
2019-06-26,0.10909406179712781,0.10105510968910951,0.1170303165746167
2019-06-27,0.10922147121954917,0.10116676934747847,0.11732547382046195
2019-06-28,0.10935315366773361,0.1013857084083349,0.11737955007285876
2019-06-29,0.10950087874473531,0.10151094058711124,0.11771709532242154
2019-06-30,0.10962992660867016,0.10145929898309702,0.11783152479572319
2019-07-01,0.10974683186544104,0.10173263909312058,0.11797774340280959
2019-07-02,0.10988619463377682,0.10189973665526184,0.11811190654388252
2019-07-03,0.11000580001828558,0.10198226367227455,0.11819959504648037
2019-07-04,0.11016024099534208,0.10207673627533209,0.11829631250809915
2019-07-05,0.11027998062168512,0.10240202875931202,0.11854166918016479
2019-07-06,0.11041956106031817,0.10249497473876588,0.11879035505972774
2019-07-07,0.11055333296922946,0.10268947447340883,0.11874346292313122
2019-07-08,0.11070163524964036,0.10271381891595305,0.11883287498535118
2019-07-09,0.110816278679,0.1027560309775789,0.11889468194905772
2019-07-10,0.11096127010307666,0.1029098551682487,0.11920565025162318
2019-07-11,0.11109673716666094,0.10310478683047843,0.11940126136195514
2019-07-12,0.1112323592773299,0.10339761094919078,0.11951492327751752
2019-07-13,0.11134325298484296,0.10345520508545827,0.11977162701709244
2019-07-14,0.11147433681315336,0.10337066692348,0.1197445656899417
2019-07-15,0.11160510396989712,0.103658192490806,0.11981080436074762
2019-07-16,0.11173767577831274,0.10374693113507451,0.12014378766517016
2019-07-17,0.11185092149931429,0.10380907038563661,0.12007800814732401
2019-07-18,0.11199543635230827,0.1041073211546184,0.12014970701628463
2019-07-19,0.11212299406100522,0.1041980032866462,0.1204477945391289
2019-07-20,0.11224669803256081,0.10421007476793667,0.12042745676884505
2019-07-21,0.11237040711252598,0.10457480145695837,0.12074128845813031
2019-07-22,0.11251359602661402,0.10475294172326814,0.12075472641761979
2019-07-23,0.11264079336026885,0.10500973335239942,0.12082319182448292
2019-07-24,0.11277451538810056,0.10513726703349126,0.12092527286351813
2019-07-25,0.11287384332977214,0.10543401859207319,0.12106731869963903
2019-07-26,0.11299497171215261,0.10544390718560327,0.12094058764597869
2019-07-27,0.11312047334733041,0.10559837106490359,0.1212040371548308
2019-07-28,0.11325502910906095,0.1055445346512223,0.12141927356504731
2019-07-29,0.11338068597156666,0.10572150854505837,0.12159154381518955
2019-07-30,0.11352029370666243,0.1057436457826208,0.12185319757026362
2019-07-31,0.11365484076125547,0.10573610167407348,0.122077809519035
2019-08-01,0.1137907554898534,0.10595326967507492,0.12234073411919841
2019-08-02,0.11394146537146888,0.10597062726527594,0.1223938787391798
2019-08-03,0.11408242693606008,0.10608318109153904,0.12251023679459934
2019-08-04,0.11421485412692309,0.10622242955945888,0.12245128904009712
2019-08-05,0.11433019698175265,0.10633824773178754,0.12258454869055213
2019-08-06,0.11445994812474403,0.10659549217235896,0.12283544575813013
2019-08-07,0.114601235855124,0.10683243836585274,0.12297674626429164
