date,estimate,lo,up
2020-10-07,0.34348866639944325,0.33374343089542563,0.35311379493785283
2020-10-08,0.34358722372945566,0.333955972922344,0.35320592408198875
2020-10-09,0.34375731481995747,0.33409253641195,0.35319478624136325
2020-10-10,0.3439342210161824,0.3344922413366258,0.353372454226354
2020-10-11,0.34410998652272096,0.3346098934255998,0.3537737662583841
2020-10-12,0.34431461702235067,0.3347463085617304,0.3540425397685405
2020-10-13,0.3444956135772308,0.33503842924106864,0.35418655064382804
2020-10-14,0.34466996914426656,0.3352044339492797,0.3543509637226492
2020-10-15,0.34484406107761056,0.33553888859758274,0.3544052327829735
2020-10-16,0.3450380074268979,0.33565125966166914,0.35466917412475607
2020-10-17,0.3451284747150532,0.33585060604431455,0.3546331179654652
2020-10-18,0.34526752895667895,0.33589764386117354,0.354862832834186
2020-10-19,0.3453745286768559,0.33603899351460836,0.3550967973993582
2020-10-20,0.3455052129181177,0.3359880685831727,0.35503622856429917
2020-10-21,0.34561027281820705,0.33598252941213674,0.3552256546361141
2020-10-22,0.34571301366708196,0.3359511067961838,0.35537262751823667
2020-10-23,0.34584673745808997,0.33613671217201185,0.35566087305891225
2020-10-24,0.34596492113162614,0.33611172586089777,0.3558620778337161
2020-10-25,0.3460559588167504,0.33618470013646806,0.3557653493093915
2020-10-26,0.3461639032792507,0.33642720939785353,0.35598638883241746
2020-10-27,0.346281529883124,0.3363557787507514,0.35616988302387803
2020-10-28,0.3464022971757313,0.3364336818987025,0.3561511219224856
2020-10-29,0.34650598042651626,0.3366495477451394,0.35633502820769525
2020-10-30,0.3466318519141595,0.3369103523693139,0.3564203958826782
2020-10-31,0.3466800353325041,0.3368978389742206,0.3561615906269495
2020-11-01,0.3467479367949987,0.33694789513234136,0.3563540989732404
2020-11-02,0.34677430109100027,0.33702835463293873,0.35652883043943934
2020-11-03,0.3468019319699314,0.3370413161105014,0.3564852646198069
2020-11-04,0.3468460563570719,0.3369447640839625,0.3565094685910358
2020-11-05,0.34688822344795567,0.3371357743995841,0.3565717634872978
2020-11-06,0.3470195020469861,0.3372901903213568,0.35655936149704315
2020-11-07,0.3471249233549336,0.33741036297219607,0.3566103046824953
2020-11-08,0.3472636633090048,0.33750515505580436,0.3569391871708773
2020-11-09,0.3473823532462986,0.3377805396190169,0.35709111871188604
2020-11-10,0.3475206945416339,0.33779236577926747,0.357145128156289
