date,fielding.start,fielding.end,pollster,sample,LNP,ALP,GRN,OTH,PUP,KAP,NXT,LNP2PP,ALP2PP,Uncommitted,source,LNP.uncommitted.included,ALP.uncommitted.included,GRN.uncommitted.included,OTH.uncommitted.included,PUP.uncommitted.included,KAP.uncommitted.included,NXT.uncommitted.included
9/2/14,7/2/14,10/2/14,Essential,1015.3,42.68689057,38.67822319,7.258938245,11.375948,,,,50,50,,,,,,,,,
14/2/14,13/2/14,15/2/14,Nielsen,1400,44,33,12,11,,,,51,49,,Nielsen PDF,,,,,,,
16/2/14,14/2/14,17/2/14,Essential,1009.8,39.54248366,40.74074074,8.169934641,11.54684096,,,,47.1,52.9,,,,,,,,,
16/2/14,15/2/14,23/2/14,Morgan,3000,41,35.5,10.5,8.5,4.5,,,49.5,50.5,1.5,http://www.roymorgan.com/findings/5449-morgan-poll-february-24-2014-201402240425,,,,,,,
22/2/14,21/2/14,23/2/14,Newspoll,1150,39,39,10,12,,,,46,54,7,Newspoll PDF,,,,,,,
23/2/14,21/2/14,24/2/14,Essential,1021.9,43.70290635,37.24434876,8.934337998,10.11840689,,,,50.7,49.3,,,,,,,,,
27/2/14,27/2/14,27/2/14,ReachTEL,3666,40.3,39.2,10.5,5.6,4.4,,,49.5,50.5,,https://www.reachtel.com.au/blog/7-news-national-poll-27march2014,,,,,,,
2/3/14,28/2/14,3/3/14,Essential,1004.3,43.483023,38.11610077,7.776560789,10.62431544,,,,50.4,49.6,,,,,,,,,
2/3/14,1/3/14,9/3/14,Morgan,2903,39.5,37,12,7.5,4,,,46.5,53.5,2,http://www.roymorgan.com/findings/5477-morgan-poll-march-11-2014-201403110445,,,,,,,
8/3/14,7/3/14,9/3/14,Newspoll,1136,41,35,11,13,,,,49,51,7,Newspoll PDF,,,,,,,
9/3/14,7/3/14,10/3/14,Essential,1041.7,41.18268215,37.59239704,8.764519535,12.46040127,,,,49.3,50.7,,,,,,,,,
14/3/14,13/3/14,15/3/14,Nielsen,1400,44,35,12,9,,,,49,51,,Nielsen PDF,,,,,,,
16/3/14,14/3/14,17/3/14,Essential,1061.5,45.59585492,34.50777202,8.601036269,11.29533679,,,,53.1,46.9,,,,,,,,,
16/3/14,15/3/14,23/3/14,Morgan,2909,38,38.5,11,8,4.5,,,45.5,54.5,2,http://www.roymorgan.com/findings/5504-morgan-poll-federal-voting-intention-march-24-2014-201403240556,,,,,,,
22/3/14,21/3/14,23/3/14,Newspoll,1149,40,36,13,11,,,,48,52,6,Newspoll PDF,,,,,,,
23/3/14,21/3/14,24/3/14,Essential,998.8,42.40088106,39.0969163,8.810572687,9.691629956,,,,49,51,,,,,,,,,
27/3/14,27/3/14,27/3/14,ReachTEL,3390,40.7,39.2,9.4,6.2,4.4,,,48,52,,https://www.reachtel.com.au/blog/7-news-national-poll-27march2014,,,,,,,
29/3/14,28/3/14,29/3/14,Galaxy,998,43,37,10,10,,,,50,50,,,,,,,,,
30/3/14,28/3/14,31/3/14,Essential,1053.8,41.60583942,39.62460897,9.071949948,9.697601668,,,,48.3,51.7,,,,,,,,,
30/3/14,29/3/14,6/4/14,Morgan,2869,38.5,34.5,12,10,5,,,48.5,51.5,1.5,http://www.roymorgan.com/findings/5526-morgan-poll-federal-voting-intention-april-7-2014-201404070713,,,,,,,
5/4/14,4/4/14,6/4/14,Newspoll,1131,43,34,11,12,,,,51,49,8,Newspoll PDF,,,,,,,
6/4/14,4/4/14,7/4/14,Essential,1054.9,42.544317,37.22627737,8.967674661,11.26173097,,,,50,50,,,,,,,,,
11/4/14,10/4/14,12/4/14,Nielsen,1400,40,34,17,9,,,,45.5,54.5,,Nielsen PDF,,,,,,,
13/4/14,11/4/14,14/4/14,Essential,1020.8,42.24137931,36.09913793,10.56034483,11.09913793,,,,50,50,,,,,,,,,
13/4/14,12/4/14,20/4/14,Morgan,2955,38.5,34,13,9.5,5,,,48,52,1.5,http://www.roymorgan.com/findings/5547-federal-voting-intention-april-22-2014-201404220518,,,,,,,
16/4/14,16/4/14,16/4/14,ReachTEL,3580,40,37.4,11.5,11.1,,,,48,52,,???,,,,,,,
20/4/14,18/4/14,21/4/14,Essential,1005.4,39.71553611,37.5273523,10.83150985,11.92560175,,,,47.9,52.1,,,,,,,,,
27/4/14,25/4/14,28/4/14,Essential,1161.6,40.3,38.4,9.4,11.9,,,,47.9,52.1,,,,,,,,,
27/4/14,26/4/14,4/5/14,Morgan,3077,37.5,37,12,8,5.5,,,45,55,2.5,http://www.roymorgan.com/findings/5566-morgan-poll-may-5-2014-201405050509,,,,,,,
1/5/14,30/4/14,1/5/14,Galaxy MM,1391,39,37,11,13,,,,48,52,,,,,,,,,
3/5/14,2/5/14,4/5/14,Newspoll,1143,38,34,14,14,,,,47,53,7,Newspoll PDF,,,,,,,
3/5/14,3/5/14,3/5/14,ReachTEL,4016,38.9,39.6,11.2,4.3,6,,,46,54,,https://www.reachtel.com.au/blog/7-news-national-poll-3may2014,,,,,,,
4/5/14,2/5/14,5/5/14,Essential,1062.6,40.2,37.2,9.6,13,,,,48.8,51.2,,,,,,,,,
8/5/14,8/5/14,8/5/14,ReachTEL,3241,37.8,39.8,10.5,4.8,7,,,46,54,,https://www.reachtel.com.au/blog/fairfax-national-poll-8may2014,,,,,,,
11/5/14,9/5/14,12/5/14,Essential,1008.7,40.7,40.5,7.4,11.4,,,,48,52,,,,,,,,,
15/5/14,14/5/14,16/5/14,Galaxy MM,1399,38,38,10,14,,,,47,53,,,,,,,,,
16/5/14,15/5/14,17/5/14,Nielsen,1400,35,40,14,11,,,,42,58,4,Nielsen PDFs,,,,,,,
17/5/14,16/5/14,18/5/14,Newspoll,1157,36,38,11,15,,,,44,56,7,Newspoll PDF,,,,,,,
18/5/14,16/5/14,19/5/14,Essential,1005.4,40.1,39.9,8.2,11.8,,,,48,52,,,,,,,,,
18/5/14,17/5/14,18/5/14,Morgan,2284,35,38.5,12,8,6.5,,,42.5,57.5,1,http://www.roymorgan.com/findings/5591-morgan-poll-federal-voting-intention-may-19-2014-201405190655,,,,,,,
25/5/14,23/5/14,26/5/14,Essential,1052.7,40,39,10,11,,,,48,52,,,,,,,,,
25/5/14,24/5/14,1/6/14,Morgan,3247,35,38,11,8.5,7.5,,,43.5,56.5,2,http://www.roymorgan.com/findings/5616-morgan-poll-on-federal-voting-intention-june-2-2014-201406020542,,,,,,,
31/5/14,30/5/14,1/6/14,Newspoll,1158,36,37,12,15,,,,46,54,7,Newspoll PDF,,,,,,,
1/6/14,30/5/14,2/6/14,Essential,1076.9,36,39,9,16,,,,46,54,,,,,,,,,
6/6/14,3/6/14,5/6/14,Morgan (phone),560,38.5,36,12.5,9.50,3.5,,,46.5,53.5,2,http://www.roymorgan.com/findings/5626-better-pm-abbott-shorten-june-2014-201406060446,,,,,,,
8/6/14,6/6/14,9/6/14,Essential,1030.7,39,41,9,11,,,,46,54,,,,,,,,,
8/6/14,7/6/14,8/6/14,Morgan,1534,33,42,12,8,5,,,39.5,60.5,4,http://www.roymorgan.com/findings/5635-morgan-poll-federal-voting-intention-june-16-2014-201406160825,,,,,,,
16/6/14,14/6/14,15/6/14,Morgan,1534,38,36.5,12,8,5.5,,,44.5,55.5,1.5,http://www.roymorgan.com/findings/5635-morgan-poll-federal-voting-intention-june-16-2014-201406160825,,,,,,,
14/6/14,13/6/14,15/6/14,Newspoll,1155,37,36,10,17,,,,47,53,6,Newspoll PDF,,,,,,,
15/6/14,13/6/14,16/6/14,Essential,980.1,39,41,9,11,,,,47,53,,,,,,,,,
20/6/14,19/6/14,21/6/14,Nielsen,1400,39,37,13,11,,,,45.5,54.5,6,Nielsen PDFs,,,,,,,
22/6/14,20/6/14,23/6/14,Essential,1018.6,41,35,10,14,,,,50,50,,,,,,,,,
22/6/14,21/6/14,29/6/14,Morgan,2797,35,36.5,12,9.5,7,,,42.5,57.5,2.5,http://www.roymorgan.com/findings/5659-federal-voting-intention-june-30-2014-201406300634,,,,,,,
26/6/14,26/6/14,26/6/14,ReachTEL,3376,39.6,38.7,10.3,4.7,6.8,,,47,53,,https://www.reachtel.com.au/blog/7-news-national-poll-26june2014,,,,,,,
28/6/14,27/6/14,29/6/14,Newspoll,1161,35,37,13,15,,,,45,55,7,Newspoll PDF,,,,,,,
29/6/14,27/6/14,30/6/14,Essential,999.9,38,40,9,13,,,,46,54,,,,,,,,,
6/7/14,4/7/14,7/7/14,Essential,984.5,40,40,9,11,,,,47,53,,,,,,,,,
6/7/14,5/7/14,13/7/14,Morgan,3955,34,38.5,11.5,8.5,7.5,,,43.5,56.5,2,http://www.roymorgan.com/findings/5683-morgan-poll-federal-voting-intention-july-14-2014-201407140605,,,,,,,
12/7/14,11/7/14,13/7/14,Newspoll,1159,36,37,11,16,,,,46,54,7,Newspoll PDF,,,,,,,
13/7/14,11/7/14,14/7/14,Essential,1015.3,37,40,8,15,,,,46,54,,,,,,,,,
18/7/14,17/7/14,19/7/14,Nielsen,1400,39,40,12,9,,,,44,56,6,Nielsen PDFs,,,,,,,
20/7/14,18/7/14,21/7/14,Essential,1146.2,40,37,9,14,,,,49,51,,,,,,,,,
20/7/14,19/6/14,27/7/14,Morgan,3296,38,39,10.5,7.5,5,,,45.5,54.5,2,http://www.roymorgan.com/findings/5707-morgan-poll-federal-voting-intention-july-28-2014-201407280638,,,,,,,
21/7/14,21/7/14,21/7/14,ReachTEL,3431,40.4,37.2,10.3,3.9,8.2,,,48,52,,https://www.reachtel.com.au/blog/7-news-national-poll-21july2014,,,,,,,
24/7/14,23/7/14,25/7/14,Galaxy MM,1400,39,37,11,13,,,,48,52,,,,,,,,,
26/7/14,25/7/14,27/7/14,Newspoll,1157,36,36,12,16,,,,46,54,6,Newspoll PDF,,,,,,,
27/7/14,25/7/14,28/7/14,Essential,1034,41,39,8,12,,,,49,51,,,,,,,,,
3/8/14,1/8/14,4/8/14,Essential,1026.3,41,38,9,12,,,,49,51,,,,,,,,,
3/8/14,2/8/14,10/8/14,Morgan,3207,37.5,38,11,8,5.5,,,44,56,2,http://www.roymorgan.com/findings/5729-morgan-poll-federal-voting-intention-august-11-2014-201408110707,,,,,,,
9/8/14,8/8/14,10/8/14,Newspoll,1162,40,34,13,13,,,,48,52,7,Newspoll PDF,,,,,,,
