date,fielding.start,fielding.end,pollster,sample,LNP,ALP,GRN,OTH,PUP,KAP,NXT,LNP2PP,ALP2PP,Uncommitted,source,LNP.uncommitted.included,ALP.uncommitted.included,GRN.uncommitted.included,OTH.uncommitted.included,PUP.uncommitted.included,KAP.uncommitted.included,NXT.uncommitted.included
23/4/15,23/4/15,23/4/15,ReachTEL,2532,39.8,39.3,11.9,6.8,2.2,,,46,54,,https://www.reachtel.com.au/blog/7-news-national-poll-23april2015,,,,,,,
26/4/15,24/4/15,27/4/15,Essential,991.1,40,40,9,11,,,,47,53,,,,,,,,,
26/4/15,25/4/15,3/5/15,Morgan,3035,40,37.5,11.5,8.5,1.5,1,,46.5,53.5,2,http://www.roymorgan.com/findings/6222-morgan-poll-federal-voting-intention-may-4-2015-201505040600,,,,,,,
2/5/15,1/5/15,3/5/15,Newspoll,1172,39,35,12,14,,,,48,52,7,Newspoll PDF,,,,,,,
3/5/15,1/5/15,4/5/15,Essential,960.3,41,38,11,10,,,,48,52,,,,,,,,,
10/5/15,8/5/15,11/5/15,Essential,990,41,40,10,9,,,,47,53,,,,,,,,,
13/5/15,13/5/15,13/5/15,ReachTEL,3180,41.1,38.3,12.1,6.4,2.2,,,47,53,,https://www.reachtel.com.au/blog/7-news-national-poll-13may2015,,,,,,,
14/5/15,12/5/15,13/5/15,Galaxy MM,1683,41,39,11,9,,,,47,53,,,,,,,,,
15/5/15,14/5/15,16/5/15,Ipsos,1403,43,35,13,9,,,,50,50,,,,,,,,,
16/5/15,14/5/15,17/5/15,Newspoll,1206,40,37,12,11,,,,47,53,6,Newspoll PDF,,,,,,,
17/5/15,15/5/15,18/5/15,Essential,954.8,41,39,11,9,,,,48,52,,,,,,,,,
17/5/15,16/5/15,17/5/15,Morgan,2439,41.5,35.5,12.5,7.5,1.5,1.5,,49,51,1,http://www.roymorgan.com/findings/6239-morgan-poll-federal-voting-intention-may-18-2015-201505180638,,,,,,,
24/5/15,22/5/15,25/5/15,Essential,1002.1,41,39,10,10,,,,48,52,,,,,,,,,
24/5/15,23/5/15,31/5/15,Morgan,3140,41,37,13,6.5,1,1.5,,47,53,1.5,http://www.roymorgan.com/findings/6265-morgan-poll-federal-voting-intention-june-1-2015-201506010603,,,,,,,
30/5/15,28/5/15,31/5/15,Newspoll,1169,41,37,13,9,,,,48,52,6,Newspoll PDF,,,,,,,
31/5/15,29/5/15,1/6/15,Essential,1001,41,40,9,10,,,,48,52,,,,,,,,,
7/6/15,5/6/15,8/6/15,Essential,995.5,41,40,10,9,,,,47,53,,,,,,,,,
7/6/15,6/6/15,14/6/15,Morgan,3297,37.5,37.5,13.5,9,1.5,1,,45.5,54.5,2.5,http://www.roymorgan.com/findings/6292-morgan-poll-federal-voting-intention-june-15-2015-201506150528,,,,,,,
12/6/15,11/6/15,14/6/16,Ipsos,1401,40,37,14,9,,,,47,53,,,,,,,,,
13/6/15,10/6/15,14/6/15,Newspoll,1170,40,34,14,12,,,,49,51,6,Newspoll PDF,,,,,,,
14/6/15,12/6/15,15/6/15,Essential,980.1,43,38,10,9,,,,49,51,,,,,,,,,
21/6/15,19/6/15,22/6/15,Essential,1014.2,40,40,11,9,,,,47,53,,,,,,,,,
21/6/15,20/6/15,28/6/15,Morgan,3282,39,36,14,8.5,1.5,1,,46.5,53.5,2,http://www.roymorgan.com/findings/6319-morgan-poll-federal-voting-intention-june-29-2015-201506290456,,,,,,,
25/6/15,25/6/15,25/6/15,ReachTEL,2907,41.9,37,13.1,6.7,1.3,,,48,52,,https://www.reachtel.com.au/blog/7-news-national-poll-25june2015,,,,,,,
28/6/15,26/6/15,29/6/15,Essential,983.4,41,39,11,9,,,,48,52,,,,,,,,,
3/7/15,2/7/15,4/7/15,Ipsos,1402,39,35,16,10,,,,47,53,,,,,,,,,
4/7/15,4/7/15,5/7/15,Newspoll/Galaxy,1631,40,37,13,10,,,,47,53,,,,,,,,,
5/7/15,3/7/15,6/7/15,Essential,970.2,40,39,10,11,,,,48,52,,,,,,,,,
5/7/15,4/7/15,12/7/15,Morgan,3110,41.5,34.5,13.5,8,1,1.5,,49,51,3,http://www.roymorgan.com/findings/6336-morgan-poll-federal-voting-intention-july-13-2015-201507130601,,,,,,,
12/7/15,10/7/15,13/7/15,Essential,972.4,41,37,11,11,,,,48,52,,,,,,,,,
18/7/15,16/7/15,19/7/15,Newspoll/Galaxy,1638,40,39,12,9,,,,47,53,,,,,,,,,
19/7/15,17/7/15,20/7/15,Essential,995.5,40,39,10,11,,,,48,52,,,,,,,,,
19/7/15,18/7/15,26/7/15,Morgan,3316,39,35.5,15,8,1,1.5,,46,54,3,http://www.roymorgan.com/findings/6365-morgan-poll-federal-voting-intention-july-27-2015-201507270533,,,,,,,
26/7/15,24/7/15,27/7/15,Essential,976.8,39,37,13,11,,,,47,53,,,,,,,,,
30/7/15,30/7/15,30/7/15,ReachTEL,3148,40.6,38,12.9,7.2,1.4,,,47,53,,https://www.reachtel.com.au/blog/7-news-national-poll-30july2015,,,,,,,
2/8/15,31/7/15,3/8/15,Essential,1075.8,40,39,11,10,,,,47,53,,,,,,,,,
2/8/15,1/8/15,9/8/15,Morgan,2930,36.5,37,15.5,8.5,1,1.5,,43,57,3,http://www.roymorgan.com/findings/6387-morgan-poll-federal-voting-intention-august-10-2015-201508100947,,,,,,,
6/8/15,6/8/15,6/8/15,ReachTEL,2543,40.2,38.3,12.8,7.3,1.4,,,47,53,,https://www.reachtel.com.au/blog/fairfax-media-national-poll-6august2015,,,,,,,
8/8/15,8/8/15,9/8/15,Newspoll/Galaxy,1727,39,39,13,9,,,,46,54,,,,,,,,,
9/8/15,7/8/15,10/8/15,Essential,953.7,41,39,11,9,,,,47,53,,,,,,,,,
14/8/15,13/8/15,15/8/15,Ipsos,1401,38,36,16,10,,,,46,54,,,,,,,,,
16/8/15,14/8/15,17/8/15,Essential,965.8,41,37,9,13,,,,49,51,,,,,,,,,
16/8/15,15/8/15,23/8/15,Morgan,3174,38.5,36,14,8.5,1.5,1.5,,45.5,54.5,2,http://www.roymorgan.com/findings/6419-morgan-poll-federal-voting-intention-august-24-2015-201508240534,,,,,,,
22/8/15,20/8/15,23/8/15,Newspoll/Galaxy,1706,38,39,13,10,,,,46,54,,,,,,,,,
23/8/15,21/8/15,24/8/15,Essential,993.3,41,38,11,10,,,,48,52,,,,,,,,,
27/8/15,27/8/15,27/8/15,ReachTEL,3264,40.2,37.5,13.4,7.6,1.3,,,47,53,,https://www.reachtel.com.au/blog/7-news-national-poll-27aug2015,,,,,,,
30/8/15,28/8/15,31/8/15,Essential,985.6,40,38,11,11,,,,47,53,,,,,,,,,
30/8/15,29/8/15,6/7/15,Morgan,2653,36.5,35.5,16.5,9,1,1.5,,45,55,2,http://www.roymorgan.com/findings/6446-morgan-poll-federal-voting-intention-september-7-2015-201509070607,,,,,,,
5/9/15,4/9/15,6/9/15,Newspoll/Galaxy,1655,39,39,12,10,,,,46,54,,,,,,,,,
6/9/15,4/9/15,7/9/15,Essential,963.6,40,39,10,11,,,,48,52,,,,,,,,,
13/9/15,11/9/15,14/9/15,Essential,968,40,38,11,11,,,,48,52,,,,,,,,,
13/9/15,12/9/15,13/9/15,Morgan,862,35,36.5,16,10.5,1.5,0.5,,43,57,5,http://www.roymorgan.com/findings/6455-morgan-poll-federal-voting-intention-september-16-2015-201509160428,,,,,,,
15/9/15,15/9/15,15/9/15,ReachTEL,3278,43.3,35.9,11.9,8.1,0.8,,,50,50,,https://www.reachtel.com.au/blog/7-news-national-poll-15september2015,,,,,,,
16/9/15,15/9/15,16/9/15,Galaxy MM,1224,44,36,11,9,,,,51,49,,,,,,,,,
19/9/15,17/9/15,20/9/15,Newspoll/Galaxy,1700,44,35,11,10,,,,51,49,9,Factiva,,,,,,,
20/9/15,18/9/15,21/9/15,Essential,961.4,43,37,11,9,,,,50,50,,,,,,,,,
20/9/15,19/9/15,20/9/15,Morgan,2059,46,29.5,13,8.5,1.5,1.5,,55,45,1.5,http://www.roymorgan.com/findings/6471-morgan-poll-federal-voting-intention-september-21-2015-201509210733,,,,,,,
27/9/15,25/9/15,28/9/15,Essential,983.4,46,32,10,12,,,,54,46,,,,,,,,,
27/9/15,26/9/15,5/10/15,Morgan,3011,47,27.5,14,8.5,1.5,1.5,,56,44,2.5,http://www.roymorgan.com/findings/6491-morgan-poll-federal-voting-intention-october-5-2015-201510050630,,,,,,,
4/10/15,2/10/15,5/10/15,Essential,968,43,37,10,10,,,,50,50,,,,,,,,,
10/10/15,9/10/15,11/10/15,Newspoll/Galaxy,1631,43,35,12,10,,,,50,50,,,,,,,,,
11/10/15,9/10/15,12/10/15,Essential,974.6,44,36,10,10,,,,51,49,,,,,,,,,
11/10/15,10/10/15,18/10/15,Morgan,3052,46.5,27.5,15.5,8.5,0.5,1.5,,56,44,2.5,http://www.roymorgan.com/findings/6509-morgan-poll-federal-voting-intention-october-19-2015-201510190610,,,,,,,
16/10/15,15/10/15,17/10/15,Ipsos,1403,45,30,14,11,,,,53,47,,,,,,,,,
18/10/15,16/10/15,19/10/15,Essential,987.8,44,36,11,9,,,,51,49,,,,,,,,,
22/10/15,22/10/15,22/10/15,ReachTEL,3574,46.7,33,11.3,8.2,0.9,,,53,47,,https://www.reachtel.com.au/blog/7-news-national-poll-22october2015,,,,,,,
24/10/15,22/10/15,25/10/15,Newspoll/Galaxy,1606,45,35,11,9,,,,52,48,6,Factiva,,,,,,,
25/10/15,23/10/15,26/10/15,Essential,983.4,46,34,11,9,,,,53,47,,,,,,,,,
25/10/15,24/10/15,1/11/15,Morgan,3262,47,28.5,14.5,8,1,1,,56.5,43.5,2.5,http://www.roymorgan.com/findings/6536-morgan-poll-federal-voting-intention-november-2-2015-201511020458,,,,,,,
1/11/15,30/10/15,2/11/15,Essential,952.6,45,34,10,11,,,,52,48,,,,,,,,,
7/11/15,5/11/15,8/11/15,Newspoll/Galaxy,1587,46,34,10,10,,,,53,47,6,Factiva,,,,,,,
8/11/15,6/11/15,9/11/15,Essential,941.6,44,36,9,11,,,,51,49,,,,,,,,,
8/11/15,7/11/15,15/11/15,Morgan,3167,46,28,14.5,8.5,1,2,,56,44,2,http://www.roymorgan.com/findings/6559-morgan-poll-federal-voting-intention-november-16-2015-201511160453,,,,,,,
13/11/15,12/11/15,14/11/15,Ipsos,1400,48,29,13,10,,,,56,44,,,,,,,,,
15/11/15,13/11/15,16/11/15,Essential,960.3,45,35,10,10,,,,52,48,,,,,,,,,
21/11/15,19/11/15,22/11/15,Newspoll/Galaxy,1573,46,33,11,10,,,,53,47,,,,,,,,,
22/11/15,20/11/15,23/11/15,Essential,987.8,44,35,11,10,,,,51,49,,,,,,,,,
22/11/15,21/11/15,29/11/15,Morgan,3500,46.5,28.5,14,9,1,1,,56,44,2.5,http://www.roymorgan.com/findings/6579-morgan-poll-federal-voting-intention-november-30-2015-201511300420,,,,,,,
26/11/15,26/11/15,26/11/15,ReachTEL,3144,48.8,31.1,11.2,7.9,1,,,55,45,,https://www.reachtel.com.au/blog/7-news-national-poll-26november2015,,,,,,,
29/11/15,27/11/15,30/11/15,Essential,960.3,44,35,11,10,,,,51,49,,,,,,,,,
5/12/15,3/12/15,5/12/15,Newspoll/Galaxy,1616,45,33,12,10,,,,53,47,7,Factiva,,,,,,,
6/12/15,4/12/15,7/12/15,Essential,972.4,45,36,11,8,,,,51,49,,,,,,,,,
6/12/15,5/12/15,13/12/15,Morgan,3164,48,27,14.5,9,1,1.5,,57.5,42.5,2,http://www.roymorgan.com/findings/6609-morgan-poll-federal-voting-intention-december-15-2015-201512150606,,,,,,,
13/12/15,11/12/15,14/12/15,Essential,968,45,33,10,12,,,,53,47,,,,,,,,,
3/1/16,2/1/16,10/1/16,Morgan,2839,47,29,13,8.5,1,1.5,,56,44,2.5,http://www.roymorgan.com/findings/6629-morgan-poll-federal-voting-intention-january-11-2015-201601110431,,,,,,,
17/1/16,15/1/16,18/1/16,Essential,963.6,44,35,10,11,,,,51,49,,,,,,,,,
17/1/16,16/1/16,24/1/16,Morgan,3245,43.5,28,15,9,0.5,2,2,55,45,2,http://www.roymorgan.com/findings/6649-morgan-poll-federal-voting-january-25-2016-201601250551,,,,,,,
21/1/16,21/1/16,21/1/16,ReachTEL,3116,48.5,31.8,10.8,8.3,0.8,,,55,45,,https://www.reachtel.com.au/blog/7-news-national-poll-21january2016,,,,,,,
24/1/16,22/1/16,25/1/16,Essential,997.7,45,34,11,10,,,,52,48,,,,,,,,,
29/1/16,28/1/16,31/1/16,Newspoll/Galaxy,1837,46,34,11,9,,,,53,47,,,,,,,,,
31/1/16,29/1/16,1/2/16,Essential,994.4,44,36,11,9,,,,51,49,,,,,,,,,
31/1/16,30/1/16,7/2/16,Morgan,3072,43.5,29,16,9.5,0.5,0.5,1,52.5,47.5,2.5,http://www.roymorgan.com/findings/6665-morgan-poll-on-federal-voting-intention-february-9-2016-201602090452,,,,,,,
7/2/16,5/2/16,8/2/16,Essential,950.4,42,34,12,12,,,,51,49,,,,,,,,,
11/2/16,11/2/16,11/2/16,ReachTEL,2946,48.1,32.8,10.1,8.3,0.7,,,46,54,,https://www.reachtel.com.au/blog/7-news-national-poll-11february2016,,,,,,,
12/2/16,11/2/16,13/2/16,Ipsos,1403,44,32,15,9,,,,48,52,,,,,,,,,
14/2/16,12/2/16,15/2/16,Essential,961.8,43,33,11,13,,,,48,52,,,,,,,,,
14/2/16,13/2/16,21/2/16,Morgan,3116,43.5,29.5,15,8.5,1,1,1.5,52.5,47.5,2.5,http://www.roymorgan.com/findings/6691-morgan-poll-federal-voting-intention-february-22-2016-201602220504,,,,,,,
20/2/16,18/2/16,21/2/16,Newspoll/Galaxy,1807,43,35,12,10,,,,50,50,,,,,,,,,
27/2/16,25/2/16,28/2/16,Essential,1017,43,38,10,9,,,,50,50,,,,,,,,,
27/2/16,27/2/16,6/3/16,Morgan,3011,43,29.5,13,8,0.5,1,5,53,47,2.5,http://www.roymorgan.com/findings/6711-morgan-poll-federal-voting-intention-march-7-2016-201603070410,,,,,,,
5/3/16,3/3/16,6/3/16,Newspoll/Galaxy,1815,43,35,12,10,,,,50,50,9,Factiva,,,,,,,
6/3/16,4/3/16,7/3/16,Essential,1001,43,37,10,10,,,,50,50,,,,,,,,,
11/3/16,9/3/16,12/3/16,Essential,1006,42,36,11,11,,,,50,50,,,,,,,,,
11/3/16,10/3/16,12/3/16,Ipsos,1402,45,31,14,10,,,,47,53,,,,,,,,,
13/3/16,12/3/16,20/3/16,Morgan,2948,40,33,14,8,0,1,4,49.5,50.5,3,http://www.roymorgan.com/findings/6723-morgan-poll-federal-voting-intention-march-21-2016-201603210505,,,,,,,
18/3/16,16/3/16,19/3/16,Essential,1003,43,38,10,9,,,,50,50,,,,,,,,,
19/3/16,17/3/16,20/3/16,Newspoll/Galaxy,2049,43,34,12,11,,,,49,51,,,,,,,,,
21/3/16,21/3/16,21/3/16,ReachTEL,3274,46.6,34.4,10.5,8.1,0.5,,,48,52,,https://www.reachtel.com.au/blog/7-news-national-poll-21march2016,,,,,,,
25/3/16,23/3/16,26/3/16,Essential,1020,43,38,9,11,,,,50,50,,,,,,,,,
27/3/16,26/3/16,3/4/16,Morgan,3174,42,31,13,9,0,0.5,4.5,52.5,47.5,2.5,http://www.roymorgan.com/findings/6746-morgan-poll-federal-voting-intention-april-4-2016-201604040745,,,,,,,
1/4/16,30/3/16,2/4/16,Essential,1038,42,37,10,11,,,,50,50,,,,,,,,,
2/4/16,31/3/16,3/4/16,Newspoll/Galaxy,1743,41,36,11,12,,,,49,51,9,Factiva,,,,,,,
8/4/16,6/4/16,9/4/16,Essential,1010,42,35,11,11,,,,50,50,,,,,,,,,
10/4/16,9/4/16,17/4/16,Morgan,3083,40.5,32,14,8.5,0,0.5,4.5,50,50,2.5,http://www.roymorgan.com/findings/6769-morgan-poll-federal-voting-intention-april-18-2016-201604180552,,,,,,,
14/4/16,14/4/16,17/4/16,Newspoll/Galaxy,1628,41,36,11,12,,,,49,51,,,,,,,,,
14/4/16,14/4/16,14/4/16,ReachTEL,2415,43.5,35.8,9.8,7.1,,,3.8,50,50,,https://www.reachtel.com.au/blog/7-news-national-poll-14April2016,,,,,,,
15/4/16,13/4/16,16/4/16,Essential,1000,42,36,11,11,,,,50,50,,,,,,,,,
15/4/16,14/4/16,16/4/16,Ipsos,1402,42,33,14,11,,,,50,50,,,,,,,,,
21/4/16,19/4/16,22/4/16,Essential,1020,40,39,10,11,,,,48,52,,,,,,,,,
24/4/16,23/4/16,1/5/16,Morgan,2951,40,32.5,13.5,9,0,1,4,49,51,3,http://www.roymorgan.com/findings/6791-morgan-poll-federal-voting-intention-may-2-2016-201605020518,,,,,,,
29/4/16,27/4/16,30/4/16,Essential,1020,40,38,10,12,,,,48,52,,,,,,,,,
5/5/16,5/5/16,7/5/16,Galaxy,1270,42,36,11,11,,,,50,50,,,,,,,,,
5/5/16,4/5/16,5/5/16,Morgan,584,,,,,,,,51,49,,???,,,,,,,
5/5/16,5/5/16,5/5/16,ReachTEL,2450,44.2,35.1,9.5,7,,,4.2,50,50,8.5,https://www.reachtel.com.au/blog/7-news-national-poll-5may2016,40.2,33.1,8.6,5.8,,,3.8
6/5/16,5/5/16,7/5/16,Ipsos,1410,44,33,14,9,,,,49,51,,,,,,,,,
6/5/16,5/5/16,8/5/16,Newspoll/Galaxy,1739,41,37,11,11,,,,49,51,7,Factiva,,,,,,,
7/5/16,5/5/16,8/5/16,Essential,1005,42,38,10,10,,,,49,51,,,,,,,,,
7/5/16,6/5/16,8/5/16,Lonergan,1841,42,35,12,11,,,,50,50,,,,,,,,,
14/5/16,12/5/16,15/5/16,Essential,1021,42,38,9,11,,,,49,51,,,,,,,,,
15/5/16,14/5/16,15/5/16,Morgan,2318,36.5,33,15.5,9.5,0,0.5,5,47.5,52.5,3,http://www.roymorgan.com/findings/6808-morgan-poll-federal-voting-intention-may-16-2016-201605160748,,,,,,,
18/5/16,17/5/16,19/5/16,Ipsos,1497,43,34,14,9,,,,51,49,,,,,,,,,
19/5/16,19/5/16,19/5/16,ReachTEL,2407,42.6,36.6,9.9,8.2,,,2.7,50,50,8.6,https://www.reachtel.com.au/blog/7-news-national-poll-19may2016,38.6,34.2,9.8,6.7,,,2.2
21/5/16,19/5/16,22/5/16,Essential,1011,41,37,9,13,,,,49,51,,,,,,,,,
21/5/16,19/5/16,22/5/16,Newspoll/Galaxy,1709,41,36,11,12,,,,49,51,9,Factiva,,,,,,,
22/5/16,21/5/16,29/5/16,Morgan,3099,37.5,32.5,13,11,0,1,5,49,51,2.5,http://www.roymorgan.com/findings/6831-morgan-poll-federal-voting-intention-may-30-2016-201605300615,,,,,,,
26/5/16,26/5/16,26/5/16,ReachTEL,2700,41,36.5,9.6,8.5,,,4.3,48,52,9.6,https://www.reachtel.com.au/blog/7-news-national-poll-26may2016,38,33.3,8.8,6.8,,,3.5
28/5/16,26/5/16,29/5/16,Essential,1007,41,35,9,15,,,,51,49,,,,,,,,,
1/6/16,31/5/16,2/6/16,Ipsos,1359,42,36,13,9,,,,49,51,,,,,,,,,
2/6/16,2/6/16,2/6/16,ReachTEL,2414,41.5,34.9,10.1,8.5,,,5,50,50,,https://www.reachtel.com.au/blog/7-news-national-poll-3june16,38.2,32.9,9.5,6.6,,,4.3
4/6/16,2/6/16,5/6/16,Essential,1011,41,36,10,14,,,,50,50,,,,,,,,,
4/6/16,2/6/16,5/6/16,Newspoll/Galaxy,1867,40,35,10,15,,,,50,50,,,,,,,,,
9/6/16,9/6/16,9/6/16,ReachTEL,2175,42.7,33.2,9.9,9.8,,,4.5,50,50,8.2,https://www.reachtel.com.au/blog/7-news-national-poll-9june16,39.2,31.6,8.7,8.3,,,4.1
11/6/16,9/6/16,12/6/16,Essential,1021,41,36,10,14,,,,49,51,,,,,,,,,
15/6/16,14/6/16,16/6/16,Ipsos,1437,39,33,14,14,,,,49,51,,,,,,,,,
16/6/16,16/6/16,16/6/16,ReachTEL,2576,43.5,33.6,9.1,9.5,,,4.2,51,49,7.8,https://www.reachtel.com.au/blog/7-news-national-poll-16june16,41.2,31,8.5,8,,,3.5
18/6/16,16/6/16,19/6/16,Essential,1013,40,37,10,13,,,,49,51,,,,,,,,,
18/6/16,16/6/16,19/6/16,Newspoll/Galaxy,1805,41,36,10,13,,,,50,50,,,,,,,,,
23/6/16,20/6/16,22/6/16,Galaxy,1390,42,35,11,12,,,,50,50,,,,,,,,,
23/6/16,23/6/16,23/6/16,ReachTEL,2349,42.3,33.7,10.5,11.9,,,1.4,51,49,7.2,https://www.reachtel.com.au/blog/7-news-national-poll-23june16,40.4,31.7,9.2,10.1,,,1.4
25/6/16,23/6/16,26/6/16,Essential,1000,39,37,10,14,,,,49,51,,,,,,,,,
25/6/16,23/6/16,26/6/16,Newspoll/Galaxy,1713,43,36,9,12,,,,51,49,,,,,,,,,
28/6/16,26/6/16,29/6/16,Ipsos,1377,40,33,13,14,,,,50,50,,,,,,,,,
29/6/16,27/6/16,30/6/16,Essential,1212,42.5,34.5,11.5,11.5,,,,50.5,49.5,,,,,,,,,
29/6/16,28/6/16,29/6/16,Galaxy,1768,43,36,10,11,,,,51,49,,,,,,,,,
30/6/16,28/6/16,1/7/16,Newspoll/Galaxy,4135,42,35,10,13,,,,50.5,49.5,,https://www.theaustralian.com.au/nation/politics/federal-election-2016-turnbull-clings-to-narrow-lead/news-story/ec670a4d0b0e5643bfeb868266061734,,,,,,,
30/6/16,30/6/16,30/6/16,ReachTEL,2084,42.8,34.6,10.7,10.5,,,1.5,51,49,5.1,https://www.reachtel.com.au/blog/7-news-national-poll-30june16,41.5,33.3,10.3,8.5,,,1.3
1/7/16,29/6/16,2/7/16,Essential,1000,41,37,10,12,,,,50,50,,,,,,,,,
8/7/16,6/7/16,9/7/16,Essential ,1022,41,36,10,13,,,,49,51,,,,,,,,,
15/7/16,13/7/16,16/7/16,Essential ,1012,39,36,10,14,,,,49,51,,,,,,,,,
22/7/16,20/7/16,23/7/16,Essential ,1018,39,37,10,14,,,,48,52,,,,,,,,,
29/7/16,27/7/16,30/7/16,Essential,1000,39,37,10,14,,,,48,52,,,,,,,,,
7/8/16,5/8/16,8/8/16,Essential,1003,40,37,10,13,,,,48,52,,,,,,,,,
14/8/16,12/8/16,15/8/16,Essential ,1015,39,37,10,14,,,,48,52,,,,,,,,,
21/8/16,19/8/16,22/8/16,Essential,1002,39,36,10,16,,,,49,51,,,,,,,,,
27/8/16,25/8/16,28/8/16,Newspoll/Galaxy,1696,41,36,9,14,,,,50,50,,,,,,,,,
28/8/16,26/8/16,29/8/16,Essential,1021,40,37,10,14,,,,49,51,,,,,,,,,
4/9/16,2/9/16,5/9/16,Essential,1041,39,37,10,14,,,,48,52,,,,,,,,,
10/9/16,8/9/16,11/9/16,Newspoll/Galaxy,1680,41,36,9,14,,,,50,50,,,,,,,,,
11/9/16,9/9/16,12/9/16,Essential,1019,38,37,10,16,,,,48,52,,,,,,,,,
11/9/16,9/9/16,12/9/16,Essential,1019,38,37,10,16,,,,48,52,,,,,,,,,
18/9/16,16/9/16,19/9/16,Essential,1015,37,37,10,17,,,,48,52,,,,,,,,,
24/9/16,22/9/16,25/9/16,Newspoll/Galaxy,1662,38,37,10,15,,,,48,52,,,,,,,,,
25/9/16,23/9/16,26/9/16,Essential,1009,39,36,9,16,,,,48,52,,,,,,,,,
8/10/16,8/9/16,11/9/16,Newspoll/Galaxy,1622,39,36,10,15,,,,48,52,,,,,,,,,
9/10/16,7/10/16,10/10/16,Essential,1002,38,36,10,16,,,,48,52,,,,,,,,,
16/10/16,14/10/16,17/10/16,Essential,1101,37,37,11,14,,,,47,53,,,,,,,,,
22/10/16,22/9/16,25/9/16,Newspoll/Galaxy,1673,39,37,10,14,,,,48,52,,,,,,,,,
23/10/16,21/10/16,24/10/16,Essential,1001,38,37,10,15,,,,48,52,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
